public_product_id,marketplace,brand_group,category_group,subcategory_group,product_group,fulfillment_type,listing_price_band,inventory_band,margin_band_public,profitability_band_public,sales_index,units_index,fee_pct_of_gross,refund_pct_of_gross,promotion_pct_of_gross,net_to_gross_pct,margin_index,estimated_profitability_index,margin_risk_score,margin_risk_band,revenue_quality_score,revenue_quality_band,recommended_action,action_priority,action_reason
P0586,Amazon,Pantene,Hair Care,General / Uncategorized,General Product,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,91.7,86.5,23.7,3.6,4.1,82.8,91.4,85.6,9.0,Low Risk,74.6,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P1131,Amazon,Vaseline,Skin Care,Sunscreen,Sunscreen,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,91.5,86.7,23.5,3.0,4.0,83.5,92.3,86.3,8.9,Low Risk,75.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1080,Amazon,Tresemme,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,91.5,86.3,23.8,3.7,3.8,83.0,91.2,85.6,9.0,Low Risk,75.3,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P1069,Amazon,Tiger Balm,Health & Wellness,Pain Relief Balm,Pain Relief,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,91.4,95.7,24.8,4.7,3.9,81.6,88.4,83.6,9.4,Low Risk,73.4,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P0342,Amazon,Fino,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,91.4,85.9,23.9,5.5,3.7,81.9,88.9,84.0,9.0,Low Risk,74.9,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0617,Amazon,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,91.4,85.7,23.9,6.4,4.0,80.9,87.2,82.8,9.1,Low Risk,73.4,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1042,Amazon,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,91.3,86.3,24.2,5.8,4.2,80.1,87.2,82.5,9.2,Low Risk,72.7,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0168,Amazon,Colgate,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Low / 3-5,Unmapped,Unmapped,90.9,85.7,23.6,3.2,4.2,82.1,91.0,85.2,9.0,Low Risk,74.8,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1121,Amazon,Vaseline,Body Care,Body Wash,Body Wash,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,89.9,84.7,23.8,4.8,4.0,81.2,87.9,83.4,9.1,Low Risk,73.9,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0042,Amazon,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,89.6,84.5,24.0,3.6,3.7,82.7,89.4,84.7,9.0,Low Risk,74.7,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0783,Amazon,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,89.6,84.5,23.9,3.5,3.9,83.0,89.5,84.9,9.0,Low Risk,75.0,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1067,Amazon,Tiger Balm,Health & Wellness,Pain Relief Balm,Pain Relief,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,89.5,93.9,24.8,2.5,4.1,82.3,89.2,84.4,9.3,Low Risk,74.5,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P0172,Amazon,Colgate,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,89.4,84.5,24.2,6.3,4.4,79.8,84.6,81.2,9.2,Low Risk,72.4,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0604,Amazon,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,89.2,88.6,24.6,4.1,4.0,82.1,87.3,83.5,9.3,Low Risk,74.4,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0562,Amazon,Oral-B,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,89.2,84.1,23.7,3.8,4.1,82.9,88.7,84.5,9.0,Low Risk,74.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1048,Amazon,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,89.1,84.3,23.7,3.6,4.0,82.7,88.9,84.5,9.1,Low Risk,74.8,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0777,Amazon,Senka,Skin Care,Face Cleanser / Face Wash,Face Cleanser,FBA,500-999,Low / 3-5,Unmapped,Unmapped,89.0,84.3,23.9,3.6,4.0,82.3,88.5,84.2,9.0,Low Risk,74.9,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0263,Amazon,Dove,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,89.0,84.1,24.2,5.7,4.0,80.7,85.4,82.0,9.2,Low Risk,73.4,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P1156,Amazon,Vaseline,Body Care,Body Lotion,Body Lotion,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,88.9,84.1,24.0,4.6,3.6,82.5,87.6,83.8,9.1,Low Risk,74.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0590,Amazon,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,88.7,83.9,23.8,3.5,3.8,83.5,88.6,84.7,9.0,Low Risk,75.2,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0553,Amazon,Oral-B,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,88.7,83.7,24.0,3.2,3.9,83.6,88.6,84.8,9.1,Low Risk,75.6,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P0252,Amazon,Dove,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Low / 3-5,Unmapped,Unmapped,88.7,83.5,23.8,5.6,4.2,81.1,85.5,82.3,9.1,Low Risk,73.2,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1075,Amazon,Tresemme,Hair Care,Shampoo,Shampoo,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,88.7,83.5,23.8,5.1,4.2,81.2,86.2,82.7,9.1,Low Risk,73.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0922,Amazon,SHIVAMAX,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,87.9,85.1,24.3,5.6,3.8,80.9,84.7,81.8,9.2,Low Risk,73.1,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0279,Amazon,Dove,Body Care,General / Uncategorized,General Product,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,87.2,82.4,23.9,4.1,4.1,82.2,86.0,83.1,9.1,Low Risk,74.2,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1105,Amazon,Vaseline,Body Care,Body Wash,Body Wash,FBA,500-999,Low / 3-5,Unmapped,Unmapped,87.0,82.0,23.8,5.0,4.4,81.6,84.3,82.1,9.1,Low Risk,74.2,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0041,Amazon,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,86.7,81.6,24.1,4.0,4.2,82.0,85.2,82.6,9.1,Low Risk,74.5,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0029,Amazon,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,86.5,81.4,23.6,4.9,4.1,81.7,84.7,82.3,9.0,Low Risk,74.1,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1146,Amazon,Vaseline,Body Care,General / Uncategorized,General Product,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,86.3,81.2,23.8,3.0,3.8,84.4,86.9,84.5,9.0,Low Risk,75.9,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0554,Amazon,Oral-B,Oral Care,Dental Floss,Dental Floss,FBA,500-999,Low / 3-5,Unmapped,Unmapped,86.2,80.8,23.8,3.0,4.0,83.5,86.7,84.0,9.0,Low Risk,75.2,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0594,Amazon,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,85.9,81.2,23.9,5.5,4.2,80.6,82.8,81.0,9.1,Low Risk,72.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1044,Amazon,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,85.0,82.2,24.2,3.8,3.8,82.7,84.2,82.6,9.1,Low Risk,75.0,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0813,Amazon,Sensodyne,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,85.0,80.0,23.9,4.6,3.9,82.3,83.5,82.1,9.1,Low Risk,73.8,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0753,Amazon,Rexona,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,84.9,100.0,25.7,4.7,3.8,81.1,81.2,80.4,9.7,Low Risk,72.8,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0260,Amazon,Dove,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Low / 3-5,Unmapped,Unmapped,84.7,80.0,23.8,2.6,3.8,84.5,85.8,84.1,9.0,Low Risk,76.5,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0609,Amazon,Pantene,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,84.7,80.0,23.6,4.4,4.0,82.9,83.8,82.5,9.0,Low Risk,75.3,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1043,Amazon,Sunsilk,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,84.3,83.7,24.5,5.8,3.6,80.9,81.1,80.4,9.2,Low Risk,73.3,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P1157,Amazon,Vaseline,Skin Care,Face Cleanser / Face Wash,Face Cleanser,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,83.2,82.7,24.3,3.9,3.9,81.8,81.9,81.3,9.2,Low Risk,73.8,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0548,Amazon,Oral-B,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,81.8,81.2,24.1,4.2,4.0,82.0,80.5,80.8,9.1,Low Risk,74.2,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P0235,Amazon,Counterpain,Health & Wellness,Pain Relief Balm,Pain Relief,FBA,500-999,Low / 3-5,Unmapped,Unmapped,81.7,85.7,24.7,3.1,3.8,82.7,81.1,81.3,9.3,Low Risk,75.1,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0534,Amazon,Nexcare,Skin Care,General / Uncategorized,General Product,FBA,500-999,Low / 3-5,Unmapped,Unmapped,81.2,95.5,25.7,4.5,4.1,81.1,77.6,79.0,9.7,Low Risk,73.1,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P1085,Amazon,Tresemme,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,80.8,80.4,24.0,3.2,4.2,82.9,80.6,81.3,9.1,Low Risk,75.3,Healthy,Monitor,Low,No action threshold triggered; continue monitoring.
P1237,Amazon,Watsons,Oral Care,Interdental Brush,Interdental Brush,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,80.1,84.1,25.0,5.5,3.7,81.3,76.6,78.7,9.4,Low Risk,73.6,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0343,Amazon,Fino,Hair Care,Hair Oil / Serum,Hair Oil & Serum,FBA,1000-1499,Out of Stock / 0,Unmapped,Unmapped,77.7,78.0,24.2,4.8,4.1,82.1,75.5,78.7,9.2,Low Risk,74.6,Healthy,Restock Review,High,High indexed unit movement with low inventory or restock priority.
P0175,Amazon,Colgate,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,75.4,88.6,25.7,3.7,3.9,81.7,72.9,77.4,9.7,Low Risk,72.7,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P1120,Amazon,Vaseline,Skin Care,Body Scrub,Body Scrub,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,74.9,88.4,26.0,2.8,4.0,82.3,73.1,77.8,9.8,Low Risk,74.0,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0156,Amazon,Colgate,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Very High / 51+,Unmapped,Unmapped,74.9,78.8,25.0,5.0,4.3,80.4,71.4,76.2,9.5,Low Risk,72.6,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0082,Amazon,Biore,Skin Care,Sunscreen,Sunscreen,FBA,500-999,Very High / 51+,Unmapped,Unmapped,74.5,93.9,26.6,5.7,4.2,78.9,68.8,74.3,10.0,Low Risk,70.9,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0437,Amazon,L'Oreal Paris,Skin Care,Face Cleanser / Face Wash,Face Cleanser,FBA,500-999,Very High / 51+,Unmapped,Unmapped,72.9,85.9,26.0,4.5,4.1,80.5,69.2,75.3,9.8,Low Risk,71.9,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0246,Amazon,Dove,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Medium / 6-15,Unmapped,Unmapped,71.6,88.8,26.7,5.6,4.4,79.0,65.9,73.2,10.1,Low Risk,70.8,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0747,Amazon,Rexona,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,71.5,84.3,25.8,3.5,4.0,81.7,69.3,76.0,9.7,Low Risk,74.0,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0264,Amazon,Dove,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,High / 16-50,Unmapped,Unmapped,70.5,85.5,26.3,5.0,4.3,79.5,65.9,73.5,10.0,Low Risk,70.9,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0218,Amazon,Colgate,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,70.0,77.6,25.5,5.3,4.3,80.4,66.1,74.0,9.7,Low Risk,72.2,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0563,Amazon,Oral-B,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,68.6,80.6,25.8,5.0,4.4,79.5,64.6,73.1,9.8,Low Risk,71.8,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P1150,Amazon,Vaseline,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,68.3,92.2,27.3,2.6,3.8,81.4,65.7,74.3,10.2,Low Risk,72.6,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0034,Amazon,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,68.0,91.8,27.6,5.3,4.2,77.6,62.2,71.1,10.4,Low Risk,69.7,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0744,Amazon,Rexona,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,67.4,79.4,26.0,5.3,4.1,79.8,63.2,72.6,9.8,Low Risk,72.0,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0528,Amazon,NEXCARE,Skin Care,General / Uncategorized,General Product,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,63.2,79.6,26.8,4.3,3.9,81.1,59.7,71.7,10.0,Low Risk,72.4,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P1176,Amazon,Wangprom,Health & Wellness,General / Uncategorized,General Product,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,62.7,90.8,28.4,4.6,4.3,79.0,57.0,69.5,10.6,Low Risk,70.3,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P1107,Amazon,Vaseline,Body Care,General / Uncategorized,General Product,FBA,500-999,Very Low / 1-2,Unmapped,Unmapped,62.5,84.1,27.5,6.3,4.0,78.6,56.5,69.1,10.3,Low Risk,70.4,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0039,Amazon,Axe,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,60.1,85.1,28.4,6.9,4.2,77.2,52.8,66.8,10.6,Low Risk,68.7,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0178,Amazon,Colgate,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Low / 3-5,Unmapped,Unmapped,59.5,84.3,27.9,4.0,3.9,79.7,55.4,69.3,10.4,Low Risk,70.6,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P1114,Amazon,Vaseline,Body Care,Deodorant / Body Spray,Deodorant & Body Spray,FBA,500-999,Low / 3-5,Unmapped,Unmapped,59.2,80.2,27.6,4.5,4.1,79.7,54.8,69.0,10.3,Low Risk,71.4,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0931,Amazon,SHIVAMAX,Electronics & Travel Accessories,General / Uncategorized,General Product,FBA,<500,Out of Stock / 0,Unmapped,Unmapped,54.9,86.5,30.0,4.9,4.0,77.4,48.7,65.3,11.1,Low Risk,68.7,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P1196,Amazon,Watsons,Oral Care,Dental Floss Picks,Floss Picks,FBA,<500,Very Low / 1-2,Unmapped,Unmapped,53.8,97.1,31.5,4.5,3.9,76.5,46.9,64.0,11.6,Low Risk,67.0,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P1190,Amazon,Watsons,Oral Care,Dental Floss,Dental Floss,FBA,<500,Low / 3-5,Unmapped,Unmapped,49.5,89.4,32.2,3.6,4.2,76.4,43.1,62.4,11.9,Low Risk,67.1,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0212,Amazon,Colgate,Oral Care,Toothpaste,Toothpaste,FBA,500-999,Out of Stock / 0,Unmapped,Unmapped,49.1,85.7,31.5,5.0,3.7,76.9,42.6,62.4,11.6,Low Risk,67.6,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0263,Flipkart,Dove,Hair Care,Conditioner / Treatment / Mask,Hair Conditioner & Treatment,Merchant Fulfilled,500-999,Medium / 6-15,Unmapped,Unmapped,48.8,47.1,15.2,3.4,4.0,92.3,54.9,76.0,6.2,Low Risk,86.4,Strong,Monitor,Low,No action threshold triggered; continue monitoring.
P0270,Amazon,Dove,Hair Care,Hair Oil / Serum,Hair Oil & Serum,FBA,<500,Very High / 51+,Unmapped,Unmapped,48.1,90.6,32.0,2.6,4.1,77.9,42.8,63.1,12.0,Low Risk,67.9,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0170,Amazon,Colgate,Oral Care,Toothpaste,Toothpaste,FBA,<500,Low / 3-5,Unmapped,Unmapped,47.6,90.0,32.3,4.8,4.0,76.4,40.8,61.4,11.9,Low Risk,67.3,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
P0890,Amazon,SHIVAMAX,Health & Wellness,Herbal Inhaler,Herbal Inhaler,FBA,<500,Medium / 6-15,Unmapped,Unmapped,47.1,89.2,32.5,5.7,3.6,74.5,39.9,60.2,12.1,Low Risk,65.2,Healthy,Fee Review,High,High sales-index product with elevated fee percentage.
